LocationZip,Latitude,Longitude,geopoint
45694,38.729816,-82.8004,38.729816
,,,
38379,35.159237,-88.41878,35.159237
,,,
38580,36.270655,-85.32525,36.270655
,,,
34274,27.144031,-82.464468,27.144031
,,,
34677,28.042799,-82.67737,28.042799
,,,
39758,33.344664,-89.036193,33.344664
,,,
87931,32.969955,-107.36322,32.969955
,,,
90701,33.867215,-118.08062,33.867215
,,,
91214,34.232003,-118.24753,34.232003
,,,
91990,33.016928,-116.846046,33.016928
,,,
54919,44.416326,-88.464873,44.416326
,,,
55345,44.915413,-93.48443,44.915413
,,,
58544,46.488312,-100.29283,46.488312
,,,
61523,40.914377,-89.50654,40.914377
,,,
62076,39.261791,-89.421584,39.261791
,,,
65712,37.101742,-93.80738,37.101742
,,,
67753,39.40544,-100.74875,39.40544
,,,
74630,36.52791,-97.43304,36.52791
,,,
76682,31.475763,-96.9179,31.475763
,,,
57007,44.369696,-96.790705,44.369696
,,,
57671,45.924062,-101.354116,45.924062
,,,
58008,46.304176,-96.99819,46.304176
,,,
58206,47.933481,-97.394446,47.933481
,,,
72167,34.433276,-92.66087,34.433276
,,,
72856,35.794196,-93.04185,35.794196
,,,
70055,29.677893,-90.0901,29.677893
,,,
70640,30.366126,-92.91837,30.366126
,,,
85346,33.654343,-114.23325,33.654343
,,,
98103,47.671346,-122.34166,47.671346
,,,
99140,48.080515,-118.69498,48.080515
,,,
96802,24.859832,-168.021815,24.859832
,,,
97076,45.548616,-123.114725,45.548616
,,,
80809,38.911701,-104.98731,38.911701
,,,
82523,43.312211,-108.56038,43.312211
,,,
89423,39.009564,-119.75557,39.009564
,,,
91354,34.445313,-118.55252,34.445313
,,,
92325,34.242567,-117.28654,34.242567
,,,
29129,33.804368,-81.65577,33.804368
,,,
30230,33.173516,-84.91737,33.173516
,,,
36726,32.008444,-87.25911,32.008444
,,,
37311,35.146362,-84.88723,35.146362
,,,
38240,36.253678,-89.25364,36.253678
,,,
38303,35.612405,-88.841225,35.612405
,,,
38641,34.904881,-90.19353,34.904881
,,,
38659,34.643828,-89.33776,34.643828
,,,
44115,41.493501,-81.67125,41.493501
,,,
44125,41.414403,-81.60793,41.414403
,,,
45011,39.404856,-84.52271,39.404856
,,,
47453,38.924067,-86.74308,38.924067
,,,
34655,28.209833,-82.66973,28.209833
,,,
98830,47.880616,-119.54481,47.880616
,,,
99167,48.406582,-118.11029,48.406582
,,,
84313,41.307779,-113.56365,41.307779
,,,
84515,38.999877,-109.615008,38.999877
,,,
80123,39.616114,-105.07393,39.616114
,,,
80217,39.738752,-104.408349,39.738752
,,,
80827,39.031989,-105.46846,39.031989
,,,
82329,42.196315,-106.32113,42.196315
,,,
97423,43.187219,-124.16396,43.187219
,,,
1029,42.175896,-73.04204,42.175896
,,,
1227,42.516145,-73.092852,42.516145
,,,
1704,42.446396,-71.459405,42.446396
,,,
40027,38.329718,-85.63299,38.329718
,,,
40863,36.753043,-83.44991,36.753043
,,,
56441,46.528094,-93.98055,46.528094
,,,
56639,47.852874,-93.50758,47.852874
,,,
54534,46.40553,-90.21811,46.40553
,,,
55366,44.673454,-94.229311,44.673454
,,,
45005,39.550241,-84.3087,39.550241
,,,
45867,40.903089,-83.54591,40.903089
,,,
46356,41.269789,-87.41353,41.269789
,,,
46935,41.040988,-86.206925,41.040988
,,,
49836,46.180416,-85.90176,46.180416
,,,
51558,41.911376,-95.86092,41.911376
,,,
52002,42.50963,-90.75329,42.50963
,,,
52408,42.079415,-91.599215,42.079415
,,,
41005,39.020466,-84.74158,39.020466
,,,
59480,47.188396,-111.16349,47.188396
,,,
61564,40.49271,-89.65194,40.49271
,,,
30612,33.944339,-83.38908,33.944339
,,,
31778,30.966781,-83.72075,30.966781
,,,
33647,28.127973,-82.36123,28.127973
,,,
17002,40.510176,-77.83124,40.510176
,,,
14005,42.906765,-78.24581,42.906765
,,,
24185,36.806528,-80.26895,36.806528
,,,
24326,36.729236,-81.2001,36.729236
,,,
34636,28.65503,-82.267706,28.65503
,,,
17763,41.505366,-76.95432,41.505366
,,,
95815,38.611854,-121.44553,38.611854
,,,
99357,46.922079,-119.67175,46.922079
,,,
94062,37.444879,-122.26253,37.444879
,,,
15471,39.9783,-79.856751,39.9783
,,,
16801,40.792011,-77.84993,40.792011
,,,
17067,40.389502,-76.3147,40.389502
,,,
18239,40.989783,-75.98173,40.989783
,,,
35460,32.716468,-88.15261,32.716468
,,,
35584,33.823683,-87.08699,33.823683
,,,
24157,37.288384,-80.067062,37.288384
,,,
26815,38.482224,-79.33161,38.482224
,,,
27613,35.899208,-78.71161,35.899208
,,,
27675,35.797692,-78.625265,35.797692
,,,
6349,41.39973,-72.090357,41.39973
,,,
8879,40.469606,-74.27669,40.469606
,,,
925,18.400006,-66.05028,18.400006
,,,
1580,42.364807,-71.896868,42.364807
,,,
70046,29.61829,-89.872599,29.61829
,,,
72685,36.062264,-92.96277,36.062264
,,,
73109,35.43366,-97.52496,35.43366
,,,
73450,34.273995,-96.54837,34.273995
,,,
49304,43.895264,-85.88157,43.895264
,,,
80006,39.522014,-105.223945,39.522014
,,,
90302,33.975263,-118.35558,33.975263
,,,
97103,46.155007,-123.7417,46.155007
,,,
75353,32.767268,-96.777626,32.767268
,,,
76123,32.623807,-97.37548,32.623807
,,,
83616,43.705551,-116.36346,43.705551
,,,
85007,33.449995,-112.09024,33.449995
,,,
38630,34.22795,-90.63213,34.22795
,,,
38858,34.082553,-88.58797,34.082553
,,,
40066,38.197268,-85.212156,38.197268
,,,
46251,39.779492,-86.132837,39.779492
,,,
46401,41.590686,-87.319937,41.590686
,,,
65329,38.609313,-92.97655,38.609313
,,,
66079,38.542788,-95.1232,38.542788
,,,
66440,39.254902,-95.69171,39.254902
,,,
76906,31.372754,-100.495114,31.372754
,,,
77999,29.495537,-94.961797,29.495537
,,,
80721,40.681557,-102.16663,40.681557
,,,
83839,47.566703,-116.20774,47.566703
,,,
59525,48.733088,-110.32495,48.733088
,,,
61234,41.412944,-89.92236,41.412944
,,,
61739,40.741158,-88.51546,40.741158
,,,
61815,40.112616,-88.3708,40.112616
,,,
56545,47.363986,-96.2396,47.363986
,,,
79643,30.711061,-101.215979,30.711061
,,,
62854,38.768452,-88.82814,38.768452
,,,
64136,39.01543,-94.39967,39.01543
,,,
70053,29.915355,-90.05335,29.915355
,,,
25183,37.909119,-81.83666,37.909119
,,,
14056,42.991173,-78.312171,42.991173
,,,
14743,42.203691,-78.407,42.203691
,,,
32098,30.164918,-81.378181,30.164918
,,,
32595,30.61428,-87.275772,30.61428
,,,
33438,26.900359,-80.60368,26.900359
,,,
21036,39.24367,-76.99782,39.24367
,,,
21237,39.33224,-76.50365,39.33224
,,,
21538,39.395674,-79.20096,39.395674
,,,
21684,38.88927,-75.861191,38.88927
,,,
23032,37.674655,-76.68104,37.674655
,,,
19040,40.178076,-75.1067,40.178076
,,,
13022,43.163364,-76.509567,43.163364
,,,
53018,43.05348,-88.39844,43.05348
,,,
54889,45.407855,-92.15619,45.407855
,,,
55991,44.24431,-92.41336,44.24431
,,,
36858,32.297792,-85.31205,32.297792
,,,
37868,35.880902,-83.556134,35.880902
,,,
8219,39.056521,-74.816619,39.056521
,,,
17825,40.769908,-76.49366,40.769908
,,,
75407,33.14572,-96.49664,33.14572
,,,
75638,33.02583,-94.72481,33.02583
,,,
76263,33.487842,-97.421155,33.487842
,,,
66417,39.655741,-96.03394,39.655741
,,,
72333,34.305697,-90.85597,34.305697
,,,
72659,36.23638,-92.372635,36.23638
,,,
74156,36.302391,-95.960472,36.302391
,,,
74572,34.626083,-96.43083,34.626083
,,,
75264,32.767268,-96.777626,32.767268
,,,
43032,40.328773,-82.95824,40.328773
,,,
43153,39.721965,-83.58093,39.721965
,,,
43655,41.686778,-83.43943,41.686778
,,,
44138,41.373949,-81.91507,41.373949
,,,
65603,37.557203,-93.86589,37.557203
,,,
71373,31.540784,-91.48698,31.540784
,,,
28228,35.26002,-80.804151,35.26002
,,,
28365,35.184516,-78.06056,35.184516
,,,
49612,44.877741,-85.24163,44.877741
,,,
50624,42.463161,-92.66183,42.463161
,,,
51334,43.401328,-94.81524,43.401328
,,,
53050,43.499518,-88.53911,43.499518
,,,
96051,40.939342,-122.42246,40.939342
,,,
79042,34.759887,-101.83116,34.759887
,,,
89450,39.256357,-119.946371,39.256357
,,,
91355,34.406519,-118.56214,34.406519
,,,
92004,33.184028,-116.26597,33.184028
,,,
20392,38.893311,-77.014647,38.893311
,,,
20628,38.135718,-76.33865,38.135718
,,,
21226,39.211758,-76.56623,39.211758
,,,
2901,41.82275,-71.414451,41.82275
,,,
3449,42.975105,-71.98913,42.975105
,,,
5855,44.936237,-72.19921,44.936237
,,,
12534,42.22948,-73.75846,42.22948
,,,
12814,43.582318,-73.65515,43.582318
,,,
13031,43.039916,-76.28757,43.039916
,,,
18085,40.740769,-75.25335,40.740769
,,,
1344,42.607051,-72.41396,42.607051
,,,
2018,41.970474,-70.701357,41.970474
,,,
38350,35.148316,-87.745118,35.148316
,,,
38547,36.141741,-86.00868,36.141741
,,,
40245,38.270855,-85.48322,38.270855
,,,
31728,30.87039,-84.21343,30.87039
,,,
33334,26.182161,-80.13341,26.182161
,,,
46782,40.83204,-85.005402,40.83204
,,,
47460,39.290029,-86.77844,39.290029
,,,
34731,28.859765,-81.90184,28.859765
,,,
35033,33.952939,-87.02889,33.952939
,,,
24539,36.861612,-78.91187,36.861612
,,,
25159,38.49008,-81.79515,38.49008
,,,
25862,38.079509,-81.06238,38.079509
,,,
42634,36.881682,-84.42143,36.881682
,,,
48152,42.427835,-83.36299,42.427835
,,,
95632,38.267544,-121.29723,38.267544
,,,
95667,38.724682,-120.79533,38.724682
,,,
97826,45.720228,-119.22894,45.720228
,,,
82604,42.791242,-106.53986,42.791242
,,,
85542,33.262553,-110.5231,33.262553
,,,
86322,34.556478,-111.84375,34.556478
,,,
76627,32.122106,-97.41864,32.122106
,,,
66423,38.8421,-96.12775,38.8421
,,,
66626,39.042939,-95.769657,39.042939
,,,
68112,41.334947,-95.95924,41.334947
,,,
57233,44.494263,-97.42038,44.494263
,,,
57741,44.40932,-103.455428,44.40932
,,,
58854,47.835713,-103.22565,47.835713
,,,
59050,45.272302,-107.45873,45.272302
,,,
49666,44.635328,-85.5614,44.635328
,,,
54151,45.732689,-87.96996,45.732689
,,,
45230,39.078368,-84.38865,39.078368
,,,
45368,39.840367,-83.65813,39.840367
,,,
45624,39.172214,-83.34842,39.172214
,,,
46348,41.316401,-86.87244,41.316401
,,,
46980,40.848927,-85.792501,40.848927
,,,
70789,30.925815,-91.09672,30.925815
,,,
55124,44.743963,-93.20624,44.743963
,,,
55486,45.015914,-93.47188,45.015914
,,,
55488,45.015914,-93.47188,45.015914
,,,
48088,42.516851,-82.982757,42.516851
,,,
49101,41.944869,-86.48827,41.944869
,,,
29051,33.845399,-80.13052,33.845399
,,,
44250,41.020256,-81.4359,41.020256
,,,
37098,35.882639,-87.31395,35.882639
,,,
38541,36.525275,-85.36148,36.525275
,,,
22184,38.831813,-77.288755,38.831813
,,,
28318,35.020272,-78.614,35.020272
,,,
30522,34.801665,-84.37931,34.801665
,,,
73032,34.400476,-97.05041,34.400476
,,,
73162,35.579254,-97.63765,35.579254
,,,
73435,34.354547,-97.4843,34.354547
,,,
73758,36.949144,-98.04938,36.949144
,,,
74104,36.146143,-95.95414,36.146143
,,,
74734,34.138965,-94.55407,34.138965
,,,
75148,32.183649,-96.01862,32.183649
,,,
75637,32.102729,-94.493543,32.102729
,,,
81655,39.731182,-106.62705,39.731182
,,,
84323,41.684253,-111.783783,41.684253
,,,
96061,40.310324,-121.43316,40.310324
,,,
96145,39.177383,-120.14607,39.177383
,,,
15468,39.936535,-79.84669,39.936535
,,,
16311,41.452879,-80.0222,41.452879
,,,
17215,40.079326,-77.90039,40.079326
,,,
17966,40.722587,-76.229623,40.722587
,,,
18655,41.184223,-76.19361,41.184223
,,,
20020,38.863079,-76.97138,38.863079
,,,
20120,38.851221,-77.44998,38.851221
,,,
23112,37.427988,-77.64868,37.427988
,,,
24018,37.229786,-80.02477,37.229786
,,,
3229,43.204192,-71.70711,43.204192
,,,
74760,34.146827,-95.37358,34.146827
,,,
75104,32.588536,-96.94949,32.588536
,,,
77006,29.741878,-95.38944,29.741878
,,,
80108,39.453833,-104.885409,39.453833
,,,
84008,40.443106,-109.505593,40.443106
,,,
78941,29.719856,-97.1249,29.719856
,,,
79233,34.545031,-100.43729,34.545031
,,,
79945,31.694842,-106.299987,31.694842
,,,
98547,46.781978,-124.08111,46.781978
,,,
87752,36.02239,-104.65018,36.02239
,,,
89151,35.927901,-114.972061,35.927901
,,,
93247,36.201983,-119.08589,36.201983
,,,
94288,38.377411,-121.444429,38.377411
,,,
95141,37.178745,-121.741809,37.178745
,,,
28460,34.52072,-77.42096,34.52072
,,,
28705,36.033454,-82.16858,36.033454
,,,
30609,33.946364,-83.37743,33.946364
,,,
33910,26.552895,-81.94861,26.552895
,,,
34237,27.336973,-82.51506,27.336973
,,,
35452,33.249332,-87.67217,33.249332
,,,
35809,34.733964,-86.522913,34.733964
,,,
41713,37.22539,-83.273609,37.22539
,,,
43947,39.964553,-80.76013,39.964553
,,,
4655,44.632707,-67.39416,44.632707
,,,
5035,43.608849,-72.6799,43.608849
,,,
1119,42.128442,-72.50932,42.128442
,,,
1523,42.473131,-71.67946,42.473131
,,,
1571,42.049864,-71.9173,42.049864
,,,
1835,42.757767,-71.08518,42.757767
,,,
22003,38.830345,-77.21387,38.830345
,,,
22645,39.023035,-78.2809,39.023035
,,,
22719,38.527816,-78.25117,38.527816
,,,
23224,37.505147,-77.46101,37.505147
,,,
26275,38.97639,-79.95201,38.97639
,,,
16430,41.999881,-80.42585,41.999881
,,,
16625,40.290914,-78.48646,40.290914
,,,
19019,40.001811,-75.11787,40.001811
,,,
16141,40.853014,-80.40181,40.853014
,,,
10170,40.752859,-73.97608,40.752859
,,,
91762,34.057561,-117.66563,34.057561
,,,
93130,34.262834,-119.848555,34.262834
,,,
97438,43.958389,-122.75701,43.958389
,,,
97842,45.479993,-116.79861,45.479993
,,,
98650,45.981582,-121.5395,45.981582
,,,
98663,45.647667,-122.66162,45.647667
,,,
